vid_altb,von_altb,nid_altb,nach_alt,anzahl
0,Charlottenburg,0,Charlottenburg,6369
0,Charlottenburg,1,Friedrichshain,244
0,Charlottenburg,2,Hellersdorf,56
0,Charlottenburg,3,Hohenschönhausen,54
0,Charlottenburg,4,Köpenick,75
0,Charlottenburg,5,Kreuzberg,404
0,Charlottenburg,6,Lichtenberg,140
0,Charlottenburg,7,Marzahn,69
0,Charlottenburg,8,Mitte,275
0,Charlottenburg,9,Neukölln,480
0,Charlottenburg,10,Pankow,132
0,Charlottenburg,11,Prenzlauer Berg,336
0,Charlottenburg,12,Reinickendorf,566
0,Charlottenburg,13,Schöneberg,672
0,Charlottenburg,14,Spandau,1466
0,Charlottenburg,15,Steglitz,600
0,Charlottenburg,16,Tempelhof,362
0,Charlottenburg,17,Tiergarten,651
0,Charlottenburg,18,Treptow,104
0,Charlottenburg,19,Wedding,534
0,Charlottenburg,20,Weißensee,45
0,Charlottenburg,21,Wilmersdorf,1480
0,Charlottenburg,22,Zehlendorf,423
1,Friedrichshain,0,Charlottenburg,218
1,Friedrichshain,1,Friedrichshain,5609
1,Friedrichshain,2,Hellersdorf,304
1,Friedrichshain,3,Hohenschönhausen,244
1,Friedrichshain,4,Köpenick,328
1,Friedrichshain,5,Kreuzberg,790
1,Friedrichshain,6,Lichtenberg,1582
1,Friedrichshain,7,Marzahn,267
1,Friedrichshain,8,Mitte,410
1,Friedrichshain,9,Neukölln,1127
1,Friedrichshain,10,Pankow,385
1,Friedrichshain,11,Prenzlauer Berg,1218
1,Friedrichshain,12,Reinickendorf,167
1,Friedrichshain,13,Schöneberg,267
1,Friedrichshain,14,Spandau,98
1,Friedrichshain,15,Steglitz,157
1,Friedrichshain,16,Tempelhof,139
1,Friedrichshain,17,Tiergarten,192
1,Friedrichshain,18,Treptow,453
1,Friedrichshain,19,Wedding,398
1,Friedrichshain,20,Weißensee,272
1,Friedrichshain,21,Wilmersdorf,141
1,Friedrichshain,22,Zehlendorf,71
2,Hellersdorf,0,Charlottenburg,57
2,Hellersdorf,1,Friedrichshain,221
2,Hellersdorf,2,Hellersdorf,6373
2,Hellersdorf,3,Hohenschönhausen,309
2,Hellersdorf,4,Köpenick,527
2,Hellersdorf,5,Kreuzberg,35
2,Hellersdorf,6,Lichtenberg,592
2,Hellersdorf,7,Marzahn,1110
2,Hellersdorf,8,Mitte,38
2,Hellersdorf,9,Neukölln,121
2,Hellersdorf,10,Pankow,123
2,Hellersdorf,11,Prenzlauer Berg,127
2,Hellersdorf,12,Reinickendorf,73
2,Hellersdorf,13,Schöneberg,22
2,Hellersdorf,14,Spandau,94
2,Hellersdorf,15,Steglitz,69
2,Hellersdorf,16,Tempelhof,63
2,Hellersdorf,17,Tiergarten,42
2,Hellersdorf,18,Treptow,239
2,Hellersdorf,19,Wedding,89
2,Hellersdorf,20,Weißensee,129
2,Hellersdorf,21,Wilmersdorf,46
2,Hellersdorf,22,Zehlendorf,30
3,Hohenschönhausen,0,Charlottenburg,79
3,Hohenschönhausen,1,Friedrichshain,193
3,Hohenschönhausen,2,Hellersdorf,384
3,Hohenschönhausen,3,Hohenschönhausen,4980
3,Hohenschönhausen,4,Köpenick,127
3,Hohenschönhausen,5,Kreuzberg,40
3,Hohenschönhausen,6,Lichtenberg,741
3,Hohenschönhausen,7,Marzahn,607
3,Hohenschönhausen,8,Mitte,69
3,Hohenschönhausen,9,Neukölln,132
3,Hohenschönhausen,10,Pankow,273
3,Hohenschönhausen,11,Prenzlauer Berg,223
3,Hohenschönhausen,12,Reinickendorf,112
3,Hohenschönhausen,13,Schöneberg,50
3,Hohenschönhausen,14,Spandau,116
3,Hohenschönhausen,15,Steglitz,48
3,Hohenschönhausen,16,Tempelhof,72
3,Hohenschönhausen,17,Tiergarten,63
3,Hohenschönhausen,18,Treptow,145
3,Hohenschönhausen,19,Wedding,129
3,Hohenschönhausen,20,Weißensee,527
3,Hohenschönhausen,21,Wilmersdorf,47
3,Hohenschönhausen,22,Zehlendorf,20
4,Köpenick,0,Charlottenburg,66
4,Köpenick,1,Friedrichshain,231
4,Köpenick,2,Hellersdorf,448
4,Köpenick,3,Hohenschönhausen,123
4,Köpenick,4,Köpenick,5380
4,Köpenick,5,Kreuzberg,50
4,Köpenick,6,Lichtenberg,447
4,Köpenick,7,Marzahn,267
4,Köpenick,8,Mitte,54
4,Köpenick,9,Neukölln,234
4,Köpenick,10,Pankow,85
4,Köpenick,11,Prenzlauer Berg,136
4,Köpenick,12,Reinickendorf,94
4,Köpenick,13,Schöneberg,49
4,Köpenick,14,Spandau,90
4,Köpenick,15,Steglitz,73
4,Köpenick,16,Tempelhof,82
4,Köpenick,17,Tiergarten,41
4,Köpenick,18,Treptow,910
4,Köpenick,19,Wedding,88
4,Köpenick,20,Weißensee,103
4,Köpenick,21,Wilmersdorf,52
4,Köpenick,22,Zehlendorf,37
5,Kreuzberg,0,Charlottenburg,384
5,Kreuzberg,1,Friedrichshain,739
5,Kreuzberg,2,Hellersdorf,50
5,Kreuzberg,3,Hohenschönhausen,70
5,Kreuzberg,4,Köpenick,62
5,Kreuzberg,5,Kreuzberg,7058
5,Kreuzberg,6,Lichtenberg,207
5,Kreuzberg,7,Marzahn,78
5,Kreuzberg,8,Mitte,460
5,Kreuzberg,9,Neukölln,2943
5,Kreuzberg,10,Pankow,157
5,Kreuzberg,11,Prenzlauer Berg,553
5,Kreuzberg,12,Reinickendorf,339
5,Kreuzberg,13,Schöneberg,800
5,Kreuzberg,14,Spandau,228
5,Kreuzberg,15,Steglitz,374
5,Kreuzberg,16,Tempelhof,775
5,Kreuzberg,17,Tiergarten,321
5,Kreuzberg,18,Treptow,355
5,Kreuzberg,19,Wedding,539
5,Kreuzberg,20,Weißensee,61
5,Kreuzberg,21,Wilmersdorf,297
5,Kreuzberg,22,Zehlendorf,179
6,Lichtenberg,0,Charlottenburg,167
6,Lichtenberg,1,Friedrichshain,789
6,Lichtenberg,2,Hellersdorf,721
6,Lichtenberg,3,Hohenschönhausen,788
6,Lichtenberg,4,Köpenick,640
6,Lichtenberg,5,Kreuzberg,219
6,Lichtenberg,6,Lichtenberg,7037
6,Lichtenberg,7,Marzahn,913
6,Lichtenberg,8,Mitte,161
6,Lichtenberg,9,Neukölln,425
6,Lichtenberg,10,Pankow,292
6,Lichtenberg,11,Prenzlauer Berg,445
6,Lichtenberg,12,Reinickendorf,213
6,Lichtenberg,13,Schöneberg,137
6,Lichtenberg,14,Spandau,161
6,Lichtenberg,15,Steglitz,161
6,Lichtenberg,16,Tempelhof,141
6,Lichtenberg,17,Tiergarten,151
6,Lichtenberg,18,Treptow,367
6,Lichtenberg,19,Wedding,347
6,Lichtenberg,20,Weißensee,320
6,Lichtenberg,21,Wilmersdorf,128
6,Lichtenberg,22,Zehlendorf,65
7,Marzahn,0,Charlottenburg,77
7,Marzahn,1,Friedrichshain,210
7,Marzahn,2,Hellersdorf,1234
7,Marzahn,3,Hohenschönhausen,443
7,Marzahn,4,Köpenick,270
7,Marzahn,5,Kreuzberg,51
7,Marzahn,6,Lichtenberg,662
7,Marzahn,7,Marzahn,6237
7,Marzahn,8,Mitte,94
7,Marzahn,9,Neukölln,156
7,Marzahn,10,Pankow,177
7,Marzahn,11,Prenzlauer Berg,123
7,Marzahn,12,Reinickendorf,101
7,Marzahn,13,Schöneberg,50
7,Marzahn,14,Spandau,150
7,Marzahn,15,Steglitz,61
7,Marzahn,16,Tempelhof,106
7,Marzahn,17,Tiergarten,59
7,Marzahn,18,Treptow,209
7,Marzahn,19,Wedding,139
7,Marzahn,20,Weißensee,188
7,Marzahn,21,Wilmersdorf,59
7,Marzahn,22,Zehlendorf,17
8,Mitte,0,Charlottenburg,286
8,Mitte,1,Friedrichshain,601
8,Mitte,2,Hellersdorf,96
8,Mitte,3,Hohenschönhausen,98
8,Mitte,4,Köpenick,83
8,Mitte,5,Kreuzberg,511
8,Mitte,6,Lichtenberg,265
8,Mitte,7,Marzahn,85
8,Mitte,8,Mitte,2393
8,Mitte,9,Neukölln,351
8,Mitte,10,Pankow,274
8,Mitte,11,Prenzlauer Berg,1311
8,Mitte,12,Reinickendorf,186
8,Mitte,13,Schöneberg,237
8,Mitte,14,Spandau,98
8,Mitte,15,Steglitz,157
8,Mitte,16,Tempelhof,119
8,Mitte,17,Tiergarten,291
8,Mitte,18,Treptow,93
8,Mitte,19,Wedding,591
8,Mitte,20,Weißensee,143
8,Mitte,21,Wilmersdorf,189
8,Mitte,22,Zehlendorf,112
9,Neukölln,0,Charlottenburg,506
9,Neukölln,1,Friedrichshain,596
9,Neukölln,2,Hellersdorf,212
9,Neukölln,3,Hohenschönhausen,121
9,Neukölln,4,Köpenick,307
9,Neukölln,5,Kreuzberg,1755
9,Neukölln,6,Lichtenberg,390
9,Neukölln,7,Marzahn,230
9,Neukölln,8,Mitte,249
9,Neukölln,9,Neukölln,17063
9,Neukölln,10,Pankow,199
9,Neukölln,11,Prenzlauer Berg,394
9,Neukölln,12,Reinickendorf,652
9,Neukölln,13,Schöneberg,707
9,Neukölln,14,Spandau,577
9,Neukölln,15,Steglitz,746
9,Neukölln,16,Tempelhof,2071
9,Neukölln,17,Tiergarten,477
9,Neukölln,18,Treptow,1020
9,Neukölln,19,Wedding,872
9,Neukölln,20,Weißensee,116
9,Neukölln,21,Wilmersdorf,424
9,Neukölln,22,Zehlendorf,184
10,Pankow,0,Charlottenburg,130
10,Pankow,1,Friedrichshain,256
10,Pankow,2,Hellersdorf,197
10,Pankow,3,Hohenschönhausen,365
10,Pankow,4,Köpenick,158
10,Pankow,5,Kreuzberg,103
10,Pankow,6,Lichtenberg,305
10,Pankow,7,Marzahn,189
10,Pankow,8,Mitte,139
10,Pankow,9,Neukölln,208
10,Pankow,10,Pankow,6168
10,Pankow,11,Prenzlauer Berg,722
10,Pankow,12,Reinickendorf,543
10,Pankow,13,Schöneberg,93
10,Pankow,14,Spandau,141
10,Pankow,15,Steglitz,130
10,Pankow,16,Tempelhof,90
10,Pankow,17,Tiergarten,116
10,Pankow,18,Treptow,119
10,Pankow,19,Wedding,435
10,Pankow,20,Weißensee,1001
10,Pankow,21,Wilmersdorf,104
10,Pankow,22,Zehlendorf,41
11,Prenzlauer Berg,0,Charlottenburg,277
11,Prenzlauer Berg,1,Friedrichshain,1220
11,Prenzlauer Berg,2,Hellersdorf,160
11,Prenzlauer Berg,3,Hohenschönhausen,296
11,Prenzlauer Berg,4,Köpenick,194
11,Prenzlauer Berg,5,Kreuzberg,772
11,Prenzlauer Berg,6,Lichtenberg,536
11,Prenzlauer Berg,7,Marzahn,189
11,Prenzlauer Berg,8,Mitte,900
11,Prenzlauer Berg,9,Neukölln,708
11,Prenzlauer Berg,10,Pankow,1356
11,Prenzlauer Berg,11,Prenzlauer Berg,6820
11,Prenzlauer Berg,12,Reinickendorf,241
11,Prenzlauer Berg,13,Schöneberg,293
11,Prenzlauer Berg,14,Spandau,134
11,Prenzlauer Berg,15,Steglitz,160
11,Prenzlauer Berg,16,Tempelhof,93
11,Prenzlauer Berg,17,Tiergarten,255
11,Prenzlauer Berg,18,Treptow,192
11,Prenzlauer Berg,19,Wedding,756
11,Prenzlauer Berg,20,Weißensee,916
11,Prenzlauer Berg,21,Wilmersdorf,183
11,Prenzlauer Berg,22,Zehlendorf,127
12,Reinickendorf,0,Charlottenburg,493
12,Reinickendorf,1,Friedrichshain,156
12,Reinickendorf,2,Hellersdorf,123
12,Reinickendorf,3,Hohenschönhausen,106
12,Reinickendorf,4,Köpenick,94
12,Reinickendorf,5,Kreuzberg,193
12,Reinickendorf,6,Lichtenberg,221
12,Reinickendorf,7,Marzahn,124
12,Reinickendorf,8,Mitte,124
12,Reinickendorf,9,Neukölln,484
12,Reinickendorf,10,Pankow,570
12,Reinickendorf,11,Prenzlauer Berg,233
12,Reinickendorf,12,Reinickendorf,15030
12,Reinickendorf,13,Schöneberg,230
12,Reinickendorf,14,Spandau,889
12,Reinickendorf,15,Steglitz,364
12,Reinickendorf,16,Tempelhof,349
12,Reinickendorf,17,Tiergarten,354
12,Reinickendorf,18,Treptow,107
12,Reinickendorf,19,Wedding,1511
12,Reinickendorf,20,Weißensee,157
12,Reinickendorf,21,Wilmersdorf,326
12,Reinickendorf,22,Zehlendorf,140
13,Schöneberg,0,Charlottenburg,635
13,Schöneberg,1,Friedrichshain,248
13,Schöneberg,2,Hellersdorf,39
13,Schöneberg,3,Hohenschönhausen,33
13,Schöneberg,4,Köpenick,71
13,Schöneberg,5,Kreuzberg,624
13,Schöneberg,6,Lichtenberg,137
13,Schöneberg,7,Marzahn,45
13,Schöneberg,8,Mitte,217
13,Schöneberg,9,Neukölln,844
13,Schöneberg,10,Pankow,106
13,Schöneberg,11,Prenzlauer Berg,287
13,Schöneberg,12,Reinickendorf,295
13,Schöneberg,13,Schöneberg,4606
13,Schöneberg,14,Spandau,326
13,Schöneberg,15,Steglitz,1221
13,Schöneberg,16,Tempelhof,881
13,Schöneberg,17,Tiergarten,434
13,Schöneberg,18,Treptow,118
13,Schöneberg,19,Wedding,433
13,Schöneberg,20,Weißensee,52
13,Schöneberg,21,Wilmersdorf,1162
13,Schöneberg,22,Zehlendorf,451
14,Spandau,0,Charlottenburg,945
14,Spandau,1,Friedrichshain,105
14,Spandau,2,Hellersdorf,93
14,Spandau,3,Hohenschönhausen,242
14,Spandau,4,Köpenick,76
14,Spandau,5,Kreuzberg,253
14,Spandau,6,Lichtenberg,164
14,Spandau,7,Marzahn,310
14,Spandau,8,Mitte,77
14,Spandau,9,Neukölln,384
14,Spandau,10,Pankow,124
14,Spandau,11,Prenzlauer Berg,119
14,Spandau,12,Reinickendorf,681
14,Spandau,13,Schöneberg,227
14,Spandau,14,Spandau,14901
14,Spandau,15,Steglitz,331
14,Spandau,16,Tempelhof,436
14,Spandau,17,Tiergarten,457
14,Spandau,18,Treptow,241
14,Spandau,19,Wedding,468
14,Spandau,20,Weißensee,140
14,Spandau,21,Wilmersdorf,458
14,Spandau,22,Zehlendorf,154
15,Steglitz,0,Charlottenburg,454
15,Steglitz,1,Friedrichshain,131
15,Steglitz,2,Hellersdorf,59
15,Steglitz,3,Hohenschönhausen,41
15,Steglitz,4,Köpenick,98
15,Steglitz,5,Kreuzberg,274
15,Steglitz,6,Lichtenberg,153
15,Steglitz,7,Marzahn,102
15,Steglitz,8,Mitte,85
15,Steglitz,9,Neukölln,624
15,Steglitz,10,Pankow,84
15,Steglitz,11,Prenzlauer Berg,146
15,Steglitz,12,Reinickendorf,330
15,Steglitz,13,Schöneberg,858
15,Steglitz,14,Spandau,364
15,Steglitz,15,Steglitz,7421
15,Steglitz,16,Tempelhof,1382
15,Steglitz,17,Tiergarten,232
15,Steglitz,18,Treptow,127
15,Steglitz,19,Wedding,311
15,Steglitz,20,Weißensee,88
15,Steglitz,21,Wilmersdorf,704
15,Steglitz,22,Zehlendorf,932
16,Tempelhof,0,Charlottenburg,284
16,Tempelhof,1,Friedrichshain,138
16,Tempelhof,2,Hellersdorf,109
16,Tempelhof,3,Hohenschönhausen,87
16,Tempelhof,4,Köpenick,117
16,Tempelhof,5,Kreuzberg,366
16,Tempelhof,6,Lichtenberg,163
16,Tempelhof,7,Marzahn,137
16,Tempelhof,8,Mitte,68
16,Tempelhof,9,Neukölln,1674
16,Tempelhof,10,Pankow,87
16,Tempelhof,11,Prenzlauer Berg,110
16,Tempelhof,12,Reinickendorf,330
16,Tempelhof,13,Schöneberg,553
16,Tempelhof,14,Spandau,392
16,Tempelhof,15,Steglitz,1289
16,Tempelhof,16,Tempelhof,7950
16,Tempelhof,17,Tiergarten,178
16,Tempelhof,18,Treptow,189
16,Tempelhof,19,Wedding,331
16,Tempelhof,20,Weißensee,64
16,Tempelhof,21,Wilmersdorf,334
16,Tempelhof,22,Zehlendorf,225
17,Tiergarten,0,Charlottenburg,744
17,Tiergarten,1,Friedrichshain,290
17,Tiergarten,2,Hellersdorf,48
17,Tiergarten,3,Hohenschönhausen,54
17,Tiergarten,4,Köpenick,42
17,Tiergarten,5,Kreuzberg,337
17,Tiergarten,6,Lichtenberg,172
17,Tiergarten,7,Marzahn,68
17,Tiergarten,8,Mitte,236
17,Tiergarten,9,Neukölln,454
17,Tiergarten,10,Pankow,158
17,Tiergarten,11,Prenzlauer Berg,257
17,Tiergarten,12,Reinickendorf,509
17,Tiergarten,13,Schöneberg,456
17,Tiergarten,14,Spandau,379
17,Tiergarten,15,Steglitz,367
17,Tiergarten,16,Tempelhof,237
17,Tiergarten,17,Tiergarten,3391
17,Tiergarten,18,Treptow,78
17,Tiergarten,19,Wedding,973
17,Tiergarten,20,Weißensee,75
17,Tiergarten,21,Wilmersdorf,396
17,Tiergarten,22,Zehlendorf,130
18,Treptow,0,Charlottenburg,89
18,Treptow,1,Friedrichshain,295
18,Treptow,2,Hellersdorf,236
18,Treptow,3,Hohenschönhausen,136
18,Treptow,4,Köpenick,1089
18,Treptow,5,Kreuzberg,172
18,Treptow,6,Lichtenberg,410
18,Treptow,7,Marzahn,176
18,Treptow,8,Mitte,62
18,Treptow,9,Neukölln,768
18,Treptow,10,Pankow,120
18,Treptow,11,Prenzlauer Berg,192
18,Treptow,12,Reinickendorf,111
18,Treptow,13,Schöneberg,90
18,Treptow,14,Spandau,132
18,Treptow,15,Steglitz,165
18,Treptow,16,Tempelhof,195
18,Treptow,17,Tiergarten,66
18,Treptow,18,Treptow,4991
18,Treptow,19,Wedding,137
18,Treptow,20,Weißensee,76
18,Treptow,21,Wilmersdorf,60
18,Treptow,22,Zehlendorf,40
19,Wedding,0,Charlottenburg,610
19,Wedding,1,Friedrichshain,445
19,Wedding,2,Hellersdorf,101
19,Wedding,3,Hohenschönhausen,140
19,Wedding,4,Köpenick,102
19,Wedding,5,Kreuzberg,425
19,Wedding,6,Lichtenberg,345
19,Wedding,7,Marzahn,164
19,Wedding,8,Mitte,341
19,Wedding,9,Neukölln,836
19,Wedding,10,Pankow,510
19,Wedding,11,Prenzlauer Berg,556
19,Wedding,12,Reinickendorf,2570
19,Wedding,13,Schöneberg,346
19,Wedding,14,Spandau,645
19,Wedding,15,Steglitz,392
19,Wedding,16,Tempelhof,393
19,Wedding,17,Tiergarten,731
19,Wedding,18,Treptow,143
19,Wedding,19,Wedding,8819
19,Wedding,20,Weißensee,181
19,Wedding,21,Wilmersdorf,346
19,Wedding,22,Zehlendorf,155
20,Weißensee,0,Charlottenburg,43
20,Weißensee,1,Friedrichshain,188
20,Weißensee,2,Hellersdorf,150
20,Weißensee,3,Hohenschönhausen,580
20,Weißensee,4,Köpenick,111
20,Weißensee,5,Kreuzberg,59
20,Weißensee,6,Lichtenberg,282
20,Weißensee,7,Marzahn,161
20,Weißensee,8,Mitte,81
20,Weißensee,9,Neukölln,93
20,Weißensee,10,Pankow,817
20,Weißensee,11,Prenzlauer Berg,461
20,Weißensee,12,Reinickendorf,131
20,Weißensee,13,Schöneberg,43
20,Weißensee,14,Spandau,76
20,Weißensee,15,Steglitz,57
20,Weißensee,16,Tempelhof,47
20,Weißensee,17,Tiergarten,71
20,Weißensee,18,Treptow,88
20,Weißensee,19,Wedding,146
20,Weißensee,20,Weißensee,3027
20,Weißensee,21,Wilmersdorf,42
20,Weißensee,22,Zehlendorf,37
21,Wilmersdorf,0,Charlottenburg,1277
21,Wilmersdorf,1,Friedrichshain,132
21,Wilmersdorf,2,Hellersdorf,44
21,Wilmersdorf,3,Hohenschönhausen,47
21,Wilmersdorf,4,Köpenick,53
21,Wilmersdorf,5,Kreuzberg,274
21,Wilmersdorf,6,Lichtenberg,95
21,Wilmersdorf,7,Marzahn,40
21,Wilmersdorf,8,Mitte,172
21,Wilmersdorf,9,Neukölln,405
21,Wilmersdorf,10,Pankow,80
21,Wilmersdorf,11,Prenzlauer Berg,181
21,Wilmersdorf,12,Reinickendorf,302
21,Wilmersdorf,13,Schöneberg,916
21,Wilmersdorf,14,Spandau,452
21,Wilmersdorf,15,Steglitz,871
21,Wilmersdorf,16,Tempelhof,355
21,Wilmersdorf,17,Tiergarten,336
21,Wilmersdorf,18,Treptow,74
21,Wilmersdorf,19,Wedding,282
21,Wilmersdorf,20,Weißensee,36
21,Wilmersdorf,21,Wilmersdorf,4097
21,Wilmersdorf,22,Zehlendorf,676
22,Zehlendorf,0,Charlottenburg,289
22,Zehlendorf,1,Friedrichshain,65
22,Zehlendorf,2,Hellersdorf,16
22,Zehlendorf,3,Hohenschönhausen,13
22,Zehlendorf,4,Köpenick,25
22,Zehlendorf,5,Kreuzberg,117
22,Zehlendorf,6,Lichtenberg,50
22,Zehlendorf,7,Marzahn,16
22,Zehlendorf,8,Mitte,67
22,Zehlendorf,9,Neukölln,170
22,Zehlendorf,10,Pankow,28
22,Zehlendorf,11,Prenzlauer Berg,89
22,Zehlendorf,12,Reinickendorf,97
22,Zehlendorf,13,Schöneberg,277
22,Zehlendorf,14,Spandau,126
22,Zehlendorf,15,Steglitz,962
22,Zehlendorf,16,Tempelhof,153
22,Zehlendorf,17,Tiergarten,104
22,Zehlendorf,18,Treptow,28
22,Zehlendorf,19,Wedding,126
22,Zehlendorf,20,Weißensee,20
22,Zehlendorf,21,Wilmersdorf,466
22,Zehlendorf,22,Zehlendorf,2921
